"task","sparse_factor","slice_index","psnr","ssim"
"module_no_sine_S2","2","148","29.88587188720703","0.824094295501709"
"module_no_sine_S2","2","149","30.436574935913086","0.8682725429534912"
"module_no_sine_S2","2","150","30.008869171142578","0.8385790586471558"
"module_no_sine_S2","2","151","30.020893096923828","0.8417178392410278"
"module_no_sine_S2","2","152","30.084495544433594","0.8038938641548157"
"module_no_sine_S2","2","153","30.273601531982422","0.8491622805595398"
"module_no_sine_S2","2","154","29.732421875","0.785634458065033"
"module_no_sine_S2","2","155","29.874622344970703","0.8379614353179932"
"module_no_sine_S2","2","156","29.713748931884766","0.8303875923156738"
"module_no_sine_S2","2","157","30.501434326171875","0.8655272126197815"
"module_no_sine_S2","2","158","29.383943557739258","0.8238815069198608"
"module_no_sine_S2","2","159","30.083518981933594","0.8532499074935913"
"module_no_sine_S2","2","160","29.78326988220215","0.8136091232299805"
"module_no_sine_S2","2","161","29.486995697021484","0.8191605806350708"
"module_no_sine_S2","2","162","30.15226173400879","0.8552146553993225"
"module_no_sine_S2","2","163","30.039358139038086","0.862190842628479"
"module_no_sine_S2","2","164","30.730289459228516","0.8700870871543884"
"module_no_sine_S2","2","165","29.45542335510254","0.8261554837226868"
"module_no_sine_S2","2","166","29.20946502685547","0.7961081266403198"
"module_no_sine_S2","2","167","29.743453979492188","0.8401511907577515"
"module_no_sine_S2","2","168","30.120948791503906","0.8116468787193298"
"module_no_sine_S2","2","169","30.089191436767578","0.8537315726280212"
"module_no_sine_S2","2","170","29.10657501220703","0.8293390274047852"
"module_no_sine_S2","2","171","30.320844650268555","0.8415673971176147"
"module_no_sine_S2","2","172","29.790241241455078","0.8115110993385315"
"module_no_sine_S2","2","173","28.250064849853516","0.7547467947006226"
"module_no_sine_S2","2","174","30.481037139892578","0.8727213144302368"
"module_no_sine_S2","2","175","30.084169387817383","0.8081337213516235"
"module_no_sine_S2","2","176","29.87093734741211","0.831059455871582"
"module_no_sine_S2","2","177","29.76266098022461","0.8351470828056335"
"module_no_sine_S2","2","178","30.259418487548828","0.8391969203948975"
"module_no_sine_S2","2","179","29.407142639160156","0.8245198726654053"
"module_no_sine_S2","2","180","30.17755126953125","0.8488097786903381"
"module_no_sine_S2","2","181","29.67831039428711","0.8102446794509888"
"module_no_sine_S2","2","182","30.171772003173828","0.8562955856323242"
"module_no_sine_S2","2","183","30.364248275756836","0.8359291553497314"
"module_no_sine_S2","2","184","29.866764068603516","0.7727746963500977"
"module_no_sine_S2","2","185","29.562042236328125","0.8376240134239197"
"module_no_sine_S2","2","186","29.52634048461914","0.8359712362289429"
"module_no_sine_S2","2","187","29.71785545349121","0.8335213661193848"
"module_no_sine_S2","2","188","29.480817794799805","0.8222849369049072"
"module_no_sine_S2","2","189","29.827430725097656","0.8357152342796326"
"module_no_sine_S2","2","190","29.688732147216797","0.7943083047866821"
"module_no_sine_S2","2","191","29.669198989868164","0.8108583688735962"
"module_no_sine_S2","2","192","30.228899002075195","0.8505613207817078"
"module_no_sine_S2","2","193","30.285320281982422","0.8172085881233215"
"module_no_sine_S2","2","194","30.14144515991211","0.8270943760871887"
"module_no_sine_S2","2","195","30.16094207763672","0.8665517568588257"
"module_no_sine_S2","2","196","29.512283325195312","0.8119992017745972"
